ID_FASHI,RA_FASHI,DEC_FASHI,z_FASHI,OBJID_SDSS,RA_SDSS,DEC_SDSS,Probability_SDSS
,deg,deg,,,deg,deg,
20230031740,192.158,50.063,0.00744,1237658205050372405,192.181,50.058,0.982
20230062903,59.941,50.084,0.04328,1237667136952207990,59.958,50.090,0.986
20230031757,192.969,50.093,0.03869,1237658205050634784,192.982,50.092,0.921
20230052761,216.105,50.107,0.00732,1237659131671740507,216.139,50.100,0.893
20230031790,114.920,50.142,0.02059,1237663789564559538,114.972,50.122,0.000
20230031778,55.646,50.126,0.03256,1237667139635842127,55.647,50.127,0.989
20230051535,151.018,50.133,0.04991,1237657590851043564,151.019,50.135,1.000
20230031787,147.171,50.140,0.06915,1237657632726647862,147.176,50.138,0.820
20230031788,180.597,50.141,0.01298,1237658205047161328,180.598,50.142,0.984
20230031812,144.464,50.150,0.01615,1237657633799733364,144.441,50.150,0.813
20230031795,149.939,50.154,0.05805,1237657243510767789,149.923,50.154,0.977
20230056302,195.062,50.164,0.02496,1237661151915147638,195.062,50.165,1.000
20230031813,203.604,50.178,0.03116,1237661957758452499,203.601,50.176,0.917
20230051529,155.171,50.178,0.05829,1237658800956113222,155.173,50.177,0.998
20230031815,191.590,50.183,0.04076,1237658205050241155,191.581,50.180,0.975
20230051472,148.871,50.182,0.05327,1237657244047376835,148.869,50.180,0.971
20230031833,182.251,50.193,0.06990,1237658205047620451,182.250,50.192,0.960
20230031879,116.712,50.223,0.02102,1237663788491080059,116.715,50.213,0.989
20230031870,181.832,50.215,0.06253,1237658205047488615,181.842,50.215,0.989
20230062916,218.194,50.213,0.02580,1237659119860712023,218.192,50.217,0.987
20230062920,214.299,50.226,0.01315,1237659131134345565,214.303,50.226,0.996
20230031882,194.467,50.226,0.03597,1237661151914950975,194.471,50.231,0.990
20230031905,165.120,50.247,0.02322,1237657856068878680,165.150,50.235,0.651
20230031909,190.533,50.250,0.01581,1237658205049913638,190.523,50.253,0.974
20230051454,133.233,50.265,0.05000,1237653613719388413,133.244,50.257,0.944
20230031923,182.263,50.264,0.03285,1237658205047620196,182.263,50.261,0.993
20230056286,132.194,50.277,0.04376,1237653614256062715,132.126,50.262,0.753
20230031932,170.903,50.275,0.02348,1237658206118216200,170.902,50.274,0.993
20230031953,158.193,50.299,0.06333,1237657630595612812,158.185,50.300,0.999
20230062939,120.987,50.306,0.05389,1237663530794615161,120.993,50.309,0.969
20230031966,117.568,50.328,0.03942,1237663787954405815,117.575,50.325,0.982
20230031967,192.880,50.328,0.02172,1237661151914492251,192.880,50.325,0.995
20230051546,160.040,50.336,0.05435,1237657630059266851,160.045,50.336,0.775
20230031968,56.445,50.329,0.03369,1237666465324926233,56.486,50.351,0.968
20230031988,158.445,50.358,0.05855,1237657630595679027,158.446,50.360,0.986
20230051516,119.683,50.365,0.05509,1237663548511224758,119.682,50.364,0.996
20230032009,170.319,50.400,0.02151,1237657627914535035,170.378,50.368,0.847
20230031994,153.656,50.379,0.06323,1237658801492656455,153.658,50.380,0.967
20230062949,22.415,50.382,0.01952,1237671068997190967,22.426,50.386,0.999
20230032019,194.559,50.406,0.03234,1237658205587898783,194.567,50.401,0.953
20230032012,166.055,50.401,0.07030,1237657856069141150,166.052,50.402,0.951
20230032017,171.832,50.405,0.03275,1237658206118478731,171.830,50.404,0.949
20230032028,180.559,50.414,0.04459,1237658613594849366,180.574,50.413,0.981
20230052692,155.923,50.414,0.00600,1237658800956375175,155.911,50.420,0.879
20230032038,165.827,50.426,0.02145,1237657856069075582,165.828,50.426,0.987
20230056295,134.077,50.462,0.03284,1237654382513488148,134.058,50.439,0.825
20230032060,164.446,50.451,0.02825,1237657856605618317,164.453,50.457,0.929
20230032084,193.018,50.474,0.03855,1237658205587505685,193.018,50.472,0.910
20230032083,134.155,50.473,0.05001,1237653613182779770,134.158,50.482,0.960
20230052728,130.718,50.481,0.00997,1237651250411602106,130.723,50.483,0.989
20230062968,128.386,50.493,0.05929,1237651191893918325,128.384,50.495,0.925
20230032097,170.431,50.495,0.03430,1237657627914601304,170.434,50.496,0.852
20230032103,170.413,50.500,0.02257,1237657627914600888,170.419,50.504,0.769
20230032128,127.915,50.530,0.03679,1237651252021690588,127.890,50.509,0.982
20230032126,57.835,50.529,0.01976,1237667138562556180,57.828,50.531,0.995
